gi|1000108|gb|AAA92500|	 melatonin receptor [Xenopus laevis]
gi|26005777|gb|BAC41344|	 'mannose-binding lectin-associated serine protease [Xenopus laevis]'
gi|26005779|gb|BAC41345|	 'mannose-binding lectin-associated serine protease [Xenopus laevis]'
gi|26005788|gb|BAC41346|	 xSox-K1 ptotein [Xenopus laevis]
gi|260063816|gb|BAI43371|	 Ouroboros 1 [Xenopus laevis]
gi|260063818|gb|BAI43372|	 Ouroboros 2 [Xenopus laevis]
gi|26006387|gb|AAN77278|	 epsilon-tubulin [Xenopus laevis]
gi|260178661|gb|ACX34053|	 zinc finger protein 423 [Xenopus laevis]
gi|260447040|ref|NP_001159485|	 centromere protein C 1 [Xenopus laevis]
gi|260495|gb|AAB24277|	 corticotropin-releasing factor [Xenopus laevis]
gi|2605789|gb|AAB84188|	 paired-box protein Pax-2 [Xenopus laevis]
gi|260586455|gb|ACX46116|	 B-cell lymphoma 9 [Xenopus laevis]
gi|26106079|gb|BAC41520|	 adult keratin XAK-C [Xenopus laevis]
gi|261263162|gb|A5PKR8|	 RecName: Full=Elongation factor G, mitochondrial; Short=EF-Gmt; AltName: Full=Elongation factor G 1, mitochondrial; Short=mEF-G 1; AltName: Full=Elongation factor G1; Flags: Precursor
gi|261826168|gb|ACX94845|	 LIM homeobox 1 [Xenopus laevis]
gi|261826170|gb|ACX94846|	 truncated double-stranded RNA-specific endoribonuclease type III [Xenopus laevis]
gi|261876475|gb|BAI47563|	 sentrin specefic protease 1a [Xenopus laevis]
gi|261876477|gb|BAI47564|	 sentrin specific protease 1b [Xenopus laevis]
gi|262050508|ref|NP_001159910|	 NSL1, MIND kinetochore complex component, homolog [Xenopus laevis]
gi|262050511|ref|NP_001159911|	 zinc finger protein 423 [Xenopus laevis]
gi|262050513|ref|NP_001159912|	 ouroboros 1 [Xenopus laevis]
gi|262050515|ref|NP_001159913|	 keratin 14 [Xenopus laevis]
gi|262050517|ref|NP_001159914|	 resistance to inhibitors of cholinesterase 3 homolog precursor [Xenopus laevis]
gi|262050519|ref|NP_001159915|	 prolactin, gene 2 [Xenopus laevis]
gi|262050616|ref|NP_001159771|	 ribosomal protein L17 [Xenopus laevis]
gi|262088924|gb|ACY24354|	 proliferator-activated receptor gamma coactivator 1 alpha [Xenopus laevis]
gi|262176855|gb|ACY27482|	 DNA polymerase delta [Xenopus laevis]
gi|262176857|gb|ACY27483|	 DNA polymerase zeta [Xenopus laevis]
gi|262344285|gb|ACY56026|	 EGL nine homolog 2 [Xenopus laevis]
gi|262359918|ref|NP_001088987|	 centrosomal protein 63kDa [Xenopus laevis]
gi|262389|gb|AAB24653|	 Xwnt-3A=wingless product homolog [Xenopus laevis, Peptide, 352 aa]
gi|2632076|gb|CAA57946|	 cortical granule lectin [Xenopus laevis]
gi|263415109|gb|A9JS49|	 RecName: Full=Ubiquinone biosynthesis protein COQ4 homolog, mitochondrial; AltName: Full=Coenzyme Q biosynthesis protein 4 homolog; Flags: Precursor
gi|263431784|gb|B7ZRT8|	 RecName: Full=Iroquois-class homeodomain protein irx-4-B; AltName: Full=Iroquois homeobox protein 4-B
gi|263432223|sp|O42261|	 RecName: Full=Iroquois-class homeodomain protein irx-3; AltName: Full=Iroquois homeobox protein 3; Short=Xiro3
gi|26396345|sp|Q9PU16|	 RecName: Full=Lysophosphatidic acid receptor 1-B; Short=LPA receptor 1-B; Short=LPA-1-B; AltName: Full=Lysophosphatidic acid receptor LPA1 homolog 2; Short=xLPA1-2
gi|26396347|sp|Q9PU17|	 RecName: Full=Lysophosphatidic acid receptor 1-A; Short=LPA receptor 1-A; Short=LPA-1-A; AltName: Full=Lysophosphatidic acid receptor LPA1 homolog 1; Short=xLPA1-1
gi|26398277|sp|P79945|	 RecName: Full=High-affinity lysophosphatidic acid receptor; AltName: Full=PSP24
gi|2642625|gb|AAC73068|	 intersectin [Xenopus laevis]
gi|2648045|gb|CAA71486|	 TBP10 protein [Xenopus laevis]
gi|2648047|gb|CAA71487|	 TBP6 protein [Xenopus laevis]
gi|2648053|gb|CAA74363|	 corticotropin releasing factor receptor, type 1 [Xenopus laevis]
gi|2648055|gb|CAA74364|	 corticotropin releasing factor receptor, type 2 [Xenopus laevis]
gi|2654202|gb|AAB87702|	 beta B1-crystallin [Xenopus laevis]
gi|2654757|gb|AAB88259|	 ALK-2 receptor [Xenopus laevis]
gi|2655297|gb|AAB87983|	 netrin-1 [Xenopus laevis]
gi|265755|gb|AAB25447|	 preproneuropeptide Y [Xenopus laevis]
gi|2660696|gb|AAB88118|	 p21-activated kinase [Xenopus laevis]
gi|2660903|gb|AAB88135|	 synaptophysin [Xenopus laevis]
gi|2660905|gb|AAB88136|	 synaptophysin [Xenopus laevis]
gi|2660907|gb|AAB88137|	 synaptobrevin [Xenopus laevis]
gi|2660909|gb|AAB88138|	 synaptobrevin [Xenopus laevis]
gi|2661842|gb|CAA75741|	 DNA polymerase beta [Xenopus laevis]
gi|266457445|ref|NP_001079068|	 protein IMPACT [Xenopus laevis]
gi|266458399|ref|NP_001158054|	 POU domain, class 3, transcription factor 1-A [Xenopus laevis]
gi|266555|sp|P30308|	 RecName: Full=M-phase inducer phosphatase 1-A
gi|266557|sp|P30309|	 RecName: Full=M-phase inducer phosphatase 1-B
gi|266560|sp|P30310|	 RecName: Full=M-phase inducer phosphatase 2
gi|266563|sp|P30311|	 RecName: Full=M-phase inducer phosphatase 3
gi|266634546|gb|BAI49430|	 aquaporin-x3 [Xenopus laevis]
gi|266704|sp|P29403|	 RecName: Full=Rhodopsin
gi|267060|sp|P29540|	 RecName: Full=General transcription factor IIE subunit 2; AltName: Full=Transcription initiation factor IIE subunit beta; Short=TFIIE-beta
gi|267419|sp|P29674|	 RecName: Full=LIM/homeobox protein Lhx1; Short=LIM homeobox protein 1; AltName: Full=Homeobox protein Lim-1; Short=Xlim1; Short=x-Lhx1; Short=xLIM-1
gi|2674207|gb|AAB88707|	 flap endonuclease 1 [Xenopus laevis]
gi|267421|sp|P14629|	 RecName: Full=DNA repair protein complementing XP-G cells homolog; AltName: Full=Xeroderma pigmentosum group G-complementing protein homolog
gi|267844800|ref|NP_001083995|	 ubiquitin-like 3 [Xenopus laevis]
gi|267844914|ref|NP_001082454|	 keratin, type I cytoskeletal 18-A [Xenopus laevis]
gi|267844922|ref|NP_001083991|	 phosphoribosyl pyrophosphate synthetase 1 [Xenopus laevis]
gi|268370021|ref|NP_001084367|	 homeobox protein XHOX-7.1 [Xenopus laevis]
gi|268370026|ref|NP_001161214|	 egl nine homolog 2 [Xenopus laevis]
gi|268370063|ref|NP_001098740|	 msh homeobox 1 [Xenopus laevis]
gi|268370078|ref|NP_001122096|	 Sp3 transcription factor [Xenopus laevis]
gi|268370242|ref|NP_001161232|	 neuropeptide Y [Xenopus laevis]
gi|2687840|gb|CAA75795|	 fos-related antigen-2 [Xenopus laevis]
gi|2695977|gb|CAA70853|	 bone morphogenetic protein 1b [Xenopus laevis]
gi|2695979|gb|CAA70854|	 xolloid [Xenopus laevis]
gi|269849627|sp|P31365|	 RecName: Full=POU domain, class 3, transcription factor 2-A; AltName: Full=Transcription factor POU3-A; Short=XlPOU3A
gi|269849736|sp|P15204|	 RecName: Full=Thyroid hormone receptor alpha-A; Short=TRalphaA; Short=XenTR-alpha1; AltName: Full=Nuclear receptor subfamily 1 group A member 1-A
gi|26985225|gb|AAN86277|	 flotillin 1a [Xenopus laevis]
gi|26985227|gb|AAN86278|	 flotillin 1b [Xenopus laevis]
gi|26985229|gb|AAN86279|	 flotillin 1c [Xenopus laevis]
gi|26986407|gb|CAD54077|	 lmo4 protein [Xenopus laevis]
gi|269949746|gb|CBI12221|	 unnamed protein product [Xenopus laevis]
gi|269954658|gb|CAJ80803|	 TPA: zinc finger transcription factor [Xenopus laevis]
gi|269969552|gb|A8E604|	 RecName: Full=40S ribosomal protein S3a-B
gi|269969682|gb|B7ZS96|	 RecName: Full=Transthyretin; Short=xTTR; AltName: Full=Prealbumin; Flags: Precursor
gi|269993933|gb|BAI50628|	 TNF-related apoptosis-inducing ligand 1 [Xenopus laevis]
gi|269993935|gb|BAI50629|	 TNF-related apoptosis-inducing ligand 2 [Xenopus laevis]
gi|270045961|gb|BAI50705|	 kisspeptin [Xenopus laevis]
gi|270288738|ref|NP_001161853|	 protein odd-skipped-related 1 [Xenopus laevis]
gi|270288764|ref|NP_001161852|	 hypothetical protein LOC100127312 [Xenopus laevis]
gi|270486152|gb|ACZ82857|	 cytochrome oxidase subunit 1 [Xenopus laevis]
gi|270486154|gb|ACZ82858|	 cytochrome oxidase subunit 1 [Xenopus laevis]
gi|270486156|gb|ACZ82859|	 cytochrome oxidase subunit 1 [Xenopus laevis]
gi|270486158|gb|ACZ82860|	 cytochrome oxidase subunit 1 [Xenopus laevis]
gi|270486160|gb|ACZ82861|	 cytochrome oxidase subunit 1 [Xenopus laevis]
gi|270486162|gb|ACZ82862|	 cytochrome oxidase subunit 1 [Xenopus laevis]
gi|270486164|gb|ACZ82863|	 cytochrome oxidase subunit 1 [Xenopus laevis]
gi|270486166|gb|ACZ82864|	 cytochrome oxidase subunit 1 [Xenopus laevis]
gi|270486168|gb|ACZ82865|	 cytochrome oxidase subunit 1 [Xenopus laevis]
gi|270486170|gb|ACZ82866|	 cytochrome oxidase subunit 1 [Xenopus laevis]
gi|270486172|gb|ACZ82867|	 cytochrome oxidase subunit 1 [Xenopus laevis]
gi|270486174|gb|ACZ82868|	 cytochrome oxidase subunit 1 [Xenopus laevis]
gi|270486176|gb|ACZ82869|	 cytochrome oxidase subunit 1 [Xenopus laevis]
gi|270486178|gb|ACZ82870|	 cytochrome oxidase subunit 1 [Xenopus laevis]
gi|270486180|gb|ACZ82871|	 cytochrome oxidase subunit 1 [Xenopus laevis]
gi|270486182|gb|ACZ82872|	 cytochrome oxidase subunit 1 [Xenopus laevis]
gi|270486184|gb|ACZ82873|	 cytochrome oxidase subunit 1 [Xenopus laevis]
gi|270486186|gb|ACZ82874|	 cytochrome oxidase subunit 1 [Xenopus laevis]
gi|270486188|gb|ACZ82875|	 cytochrome oxidase subunit 1 [Xenopus laevis]
gi|270486190|gb|ACZ82876|	 cytochrome oxidase subunit 1 [Xenopus laevis]
gi|270486192|gb|ACZ82877|	 cytochrome oxidase subunit 1 [Xenopus laevis]
gi|270486194|gb|ACZ82878|	 cytochrome oxidase subunit 1 [Xenopus laevis]
gi|270486196|gb|ACZ82879|	 cytochrome oxidase subunit 1 [Xenopus laevis]
gi|270486274|gb|ACZ82918|	 recombination activating protein 2 [Xenopus laevis]
gi|270486276|gb|ACZ82919|	 recombination activating protein 2 [Xenopus laevis]
gi|270486278|gb|ACZ82920|	 recombination activating protein 2 [Xenopus laevis]
gi|270486280|gb|ACZ82921|	 recombination activating protein 2 [Xenopus laevis]
gi|270486282|gb|ACZ82922|	 recombination activating protein 2 [Xenopus laevis]
gi|270486284|gb|ACZ82923|	 recombination activating protein 2 [Xenopus laevis]
gi|270486286|gb|ACZ82924|	 recombination activating protein 2 [Xenopus laevis]
gi|270486288|gb|ACZ82925|	 recombination activating protein 2 [Xenopus laevis]
gi|270486290|gb|ACZ82926|	 recombination activating protein 2 [Xenopus laevis]
gi|270486292|gb|ACZ82927|	 recombination activating protein 2 [Xenopus laevis]
gi|270486294|gb|ACZ82928|	 recombination activating protein 2 [Xenopus laevis]
gi|270486296|gb|ACZ82929|	 recombination activating protein 2 [Xenopus laevis]
gi|270486298|gb|ACZ82930|	 recombination activating protein 2 [Xenopus laevis]
gi|270486300|gb|ACZ82931|	 recombination activating protein 2 [Xenopus laevis]
gi|270486302|gb|ACZ82932|	 recombination activating protein 2 [Xenopus laevis]
gi|270486304|gb|ACZ82933|	 recombination activating protein 2 [Xenopus laevis]
gi|270486306|gb|ACZ82934|	 recombination activating protein 2 [Xenopus laevis]
gi|270486308|gb|ACZ82935|	 recombination activating protein 2 [Xenopus laevis]
gi|270486310|gb|ACZ82936|	 recombination activating protein 2 [Xenopus laevis]
gi|270486312|gb|ACZ82937|	 recombination activating protein 2 [Xenopus laevis]
gi|270486314|gb|ACZ82938|	 recombination activating protein 2 [Xenopus laevis]
gi|2706519|gb|CAA75794|	 mineralocorticoid receptor [Xenopus laevis]
gi|2706546|gb|CAA75861|	 phospholipase C beta type [Xenopus laevis]
gi|2706547|gb|CAA75862|	 putative cathepsin L [Xenopus laevis]
gi|2725623|gb|AAB93301|	 VegT [Xenopus laevis]
gi|27263154|gb|CAD59446|	 structural maintenance of chromosomes protein 3 [Xenopus laevis]
gi|273068458|gb|ACZ97554|	 CtBP-interacting protein [Xenopus laevis]
gi|2731772|gb|AAC60375|	 stromelysin-3 [Xenopus laevis]
gi|2731774|gb|AAB93541|	 L amino acid transporter-1 LAT-1 [Xenopus laevis]
gi|2731776|gb|AAC60331|	 homeodomain protein twin [Xenopus laevis]
gi|2731778|gb|AAC60332|	 twin [Xenopus laevis]
gi|27357080|gb|AAN86618|	 tumor-associated calcium signal transducer 1 [Xenopus laevis]
gi|27357115|gb|AAN86572|	 glutamate carboxypeptidase [Xenopus laevis]
gi|2736294|gb|AAC02427|	 Xdkk-1 [Xenopus laevis]
gi|2736318|gb|AAB94138|	 Smad6 [Xenopus laevis]
gi|27368039|gb|AAN87031|	 kinetochore spindle checkpoint protein Ndc80 [Xenopus laevis]
gi|27368041|gb|AAN87032|	 kinetochore spindle checkpoint protein Nuf2 [Xenopus laevis]
gi|27368052|gb|AAN87352|	 secreted frizzled-related protein 5 [Xenopus laevis]
gi|27370840|gb|AAH41182|	 MGC52538 protein [Xenopus laevis]
gi|27370842|gb|AAH41184|	 LOC398088 protein [Xenopus laevis]
gi|27370844|gb|AAH41187|	 MGC52585 protein [Xenopus laevis]
gi|27370846|gb|AAH41524|	 MGC52591 protein [Xenopus laevis]
gi|27370848|gb|AAH41191|	 Ybx1 protein [Xenopus laevis]
gi|27370850|gb|AAH41200|	 Hspa5 protein [Xenopus laevis]
gi|27370852|gb|AAH41207|	 Marcks-prov protein [Xenopus laevis]
gi|27370854|gb|AAH41210|	 Odf3 protein [Xenopus laevis]
gi|27370856|gb|AAH41211|	 Serpinc1-prov protein [Xenopus laevis]
gi|27370858|gb|AAH41215|	 MGC52693 protein [Xenopus laevis]
gi|27370860|gb|AAH41218|	 MGC52708 protein [Xenopus laevis]
gi|27370862|gb|AAH41222|	 Rp2-prov protein [Xenopus laevis]
gi|27370864|gb|AAH41226|	 Ghitm-prov protein [Xenopus laevis]
gi|27370866|gb|AAH41229|	 Nprl2-pending-prov protein [Xenopus laevis]
gi|27370869|gb|AAH41233|	 Capzb-prov protein [Xenopus laevis]
gi|27370871|gb|AAH41236|	 XNopp180 protein [Xenopus laevis]
gi|27370873|gb|AAH41237|	 MGC52765 protein [Xenopus laevis]
gi|27370875|gb|AAH41241|	 Pcbp2b protein [Xenopus laevis]
gi|27370877|gb|AAH41243|	 LOC398546 protein [Xenopus laevis]
gi|27370879|gb|AAH41246|	 Hspc043-A-prov protein [Xenopus laevis]
gi|27370881|gb|AAH41250|	 Rab11b protein [Xenopus laevis]
gi|27370883|gb|AAH41253|	 MGC52801 protein [Xenopus laevis]
gi|27370885|gb|AAH41255|	 Ttc35-b protein [Xenopus laevis]
gi|27370887|gb|AAH41260|	 MGC52819 protein [Xenopus laevis]
gi|27370889|gb|AAH41262|	 MGC52825 protein [Xenopus laevis]
gi|27370891|gb|AAH41265|	 MGC52834 protein [Xenopus laevis]
gi|27370893|gb|AAH41266|	 MGC52838 protein [Xenopus laevis]
gi|27370895|gb|AAH41270|	 Sec61b protein [Xenopus laevis]
gi|27370897|gb|AAH41274|	 Paip2-prov protein [Xenopus laevis]
gi|27370899|gb|AAH41497|	 LOC398545 protein [Xenopus laevis]
gi|27370901|gb|AAH41499|	 Hspc177-prov protein [Xenopus laevis]
gi|27370903|gb|AAH41500|	 MGC52939 protein [Xenopus laevis]
gi|27370905|gb|AAH41502|	 LOC398544 protein [Xenopus laevis]
gi|27370907|gb|AAH41505|	 Bzrp-prov protein [Xenopus laevis]
gi|27370909|gb|AAH41508|	 MGC53003 protein [Xenopus laevis]
gi|27370911|gb|AAH41509|	 Ak2 protein [Xenopus laevis]
gi|27370913|gb|AAH41531|	 Similar to ribosomal protein L13 [Xenopus laevis]
gi|27370915|gb|AAH41533|	 LOC398688 protein [Xenopus laevis]
gi|27370917|gb|AAH41536|	 Cyp-7-prov protein [Xenopus laevis]
gi|27370919|gb|AAH41538|	 LOC398543 protein [Xenopus laevis]
gi|27370923|gb|AAH41284|	 Wdr32 protein [Xenopus laevis]
gi|27370925|gb|AAH41285|	 Lrrc59 protein [Xenopus laevis]
gi|27370927|gb|AAH41289|	 Cav3-prov protein [Xenopus laevis]
gi|27370929|gb|AAH41306|	 LOC398427 protein [Xenopus laevis]
gi|27370931|gb|AAH41310|	 Ndufb5-prov protein [Xenopus laevis]
gi|27370933|gb|AAH41315|	 Cpa6-prov protein [Xenopus laevis]
gi|27370936|gb|AAH41542|	 LOC398542 protein [Xenopus laevis]
gi|27370943|gb|AAH41551|	 MGC53869 protein [Xenopus laevis]
gi|27370947|gb|AAH41554|	 LOC398268 protein [Xenopus laevis]
gi|27370976|gb|AAH41491|	 Ahsa1 protein [Xenopus laevis]
gi|27370978|gb|AAH41515|	 Hspa4 protein [Xenopus laevis]
gi|27370980|gb|AAH41492|	 FLJ10006 protein [Xenopus laevis]
gi|27370982|gb|AAH41534|	 Hnrpc-prov protein [Xenopus laevis]
gi|27370984|gb|AAH41199|	 MGC52643 protein [Xenopus laevis]
gi|27370986|gb|AAH41202|	 Cacna2d3-A protein [Xenopus laevis]
gi|27370988|gb|AAH41298|	 Pou3f2 protein [Xenopus laevis]
gi|27370990|gb|AAH41224|	 MGC52725 protein [Xenopus laevis]
gi|27370992|gb|AAH41235|	 Ywhaz-prov protein [Xenopus laevis]
gi|27370994|gb|AAH41244|	 MGC52780 protein [Xenopus laevis]
gi|27370996|gb|AAH41320|	 Ndufv1 protein [Xenopus laevis]
gi|27371000|gb|AAH41279|	 MGC53543 protein [Xenopus laevis]
gi|27371002|gb|AAH41259|	 MGC52818 protein [Xenopus laevis]
gi|27371022|gb|AAH41183|	 Jun protein [Xenopus laevis]
gi|27371024|gb|AAH41185|	 Lmnb1-prov protein [Xenopus laevis]
gi|27371026|gb|AAH41190|	 Myod1-a protein [Xenopus laevis]
gi|27371028|gb|AAH41197|	 Acta1 protein [Xenopus laevis]
gi|27371030|gb|AAH41205|	 Nucb protein [Xenopus laevis]
gi|27371032|gb|AAH41209|	 MGC52676 protein [Xenopus laevis]
gi|27371034|gb|AAH41212|	 Tomm20-pending protein [Xenopus laevis]
gi|27371036|gb|AAH41227|	 Rpl5-a protein [Xenopus laevis]
gi|27371038|gb|AAH41228|	 Gkap42-pending-prov protein [Xenopus laevis]
gi|27371040|gb|AAH41231|	 Tex261-prov protein [Xenopus laevis]
gi|27371042|gb|AAH41234|	 MGC52759 protein [Xenopus laevis]
gi|27371044|gb|AAH41239|	 Cnot8-prov protein [Xenopus laevis]
gi|27371046|gb|AAH41240|	 Rpl12-prov protein [Xenopus laevis]
gi|27371048|gb|AAH41248|	 MGC52785 protein [Xenopus laevis]
gi|27371050|gb|AAH41252|	 Eif4a2-prov protein [Xenopus laevis]
gi|27371053|gb|AAH41261|	 Hes1 protein [Xenopus laevis]
gi|27371055|gb|AAH41271|	 MGC52847 protein [Xenopus laevis]
gi|27371057|gb|AAH41275|	 Snrpn-prov protein [Xenopus laevis]
gi|27371059|gb|AAH41294|	 MGC53580 protein [Xenopus laevis]
gi|27371109|gb|AAH41490|	 Sdc2-a protein [Xenopus laevis]
gi|27371111|gb|AAH41494|	 Pcnp protein [Xenopus laevis]
gi|27371113|gb|AAH41501|	 Pdcd10-prov protein [Xenopus laevis]
gi|27371115|gb|AAH41504|	 MGC52963 protein [Xenopus laevis]
gi|27371117|gb|AAH41507|	 Surf2-prov protein [Xenopus laevis]
gi|27371120|gb|AAH41517|	 Stmn3-prov protein [Xenopus laevis]
gi|27371122|gb|AAH41520|	 MGC53740 protein [Xenopus laevis]
gi|27371124|gb|AAH41522|	 MGC53763 protein [Xenopus laevis]
gi|27371142|gb|AAH41525|	 Ccnd1-prov protein [Xenopus laevis]
gi|27371144|gb|AAH41532|	 MGC53232 protein [Xenopus laevis]
gi|27371146|gb|AAH41537|	 LOC397919 protein [Xenopus laevis]
gi|27371153|gb|AAH41549|	 MGC53867 protein [Xenopus laevis]
gi|27371157|gb|AAH41555|	 MGC53900 protein [Xenopus laevis]
gi|27371199|gb|AAH41526|	 Ywhab-prov protein [Xenopus laevis]
gi|27371201|gb|AAH41527|	 Id2 protein [Xenopus laevis]
gi|27371203|gb|AAH41528|	 Uqcrfs1 protein [Xenopus laevis]
gi|27371205|gb|AAH41529|	 Myl1-prov protein [Xenopus laevis]
gi|27371207|gb|AAH41530|	 MGC53213 protein [Xenopus laevis]
gi|27371209|gb|AAH41535|	 Ndufb2-prov protein [Xenopus laevis]
gi|27371211|gb|AAH41541|	 Gnb2l1-prov protein [Xenopus laevis]
gi|27371213|gb|AAH41550|	 MGC53868 protein [Xenopus laevis]
gi|27371215|gb|AAH41557|	 Rpf1-pending-prov protein [Xenopus laevis]
gi|27371243|gb|AAH41193|	 Cdc42 protein [Xenopus laevis]
gi|27371245|gb|AAH41194|	 Let-767co-prov protein [Xenopus laevis]
gi|27371247|gb|AAH41201|	 Hsc70 protein [Xenopus laevis]
gi|27371249|gb|AAH41206|	 Creb1-prov protein [Xenopus laevis]
gi|27371251|gb|AAH41208|	 Snap29-prov protein [Xenopus laevis]
gi|27371253|gb|AAH41214|	 MGC52691 protein [Xenopus laevis]
gi|27371255|gb|AAH41216|	 Smarce1 protein [Xenopus laevis]
gi|27371257|gb|AAH41220|	 Thrap3 protein [Xenopus laevis]
gi|27371259|gb|AAH41225|	 Ica1-prov protein [Xenopus laevis]
gi|27371261|gb|AAH41230|	 Vrk2-prov protein [Xenopus laevis]
gi|27371263|gb|AAH41238|	 Mfap2-prov protein [Xenopus laevis]
gi|27371265|gb|AAH41245|	 Cg1746-prov protein [Xenopus laevis]
gi|27371267|gb|AAH41247|	 Gng13-prov protein [Xenopus laevis]
gi|27371269|gb|AAH41251|	 Ap3s1-prov protein [Xenopus laevis]
gi|27371271|gb|AAH41254|	 Sf3a2-prov protein [Xenopus laevis]
gi|27371273|gb|AAH41257|	 Gpsm2 protein [Xenopus laevis]
gi|27371275|gb|AAH41263|	 MGC52831 protein [Xenopus laevis]
gi|27371277|gb|AAH41267|	 Arpc1a protein [Xenopus laevis]
gi|27371279|gb|AAH41268|	 Nupl1-prov protein [Xenopus laevis]
gi|27371281|gb|AAH41272|	 Fam50-a protein [Xenopus laevis]
gi|27371283|gb|AAH41273|	 HRB2 protein [Xenopus laevis]
gi|27371285|gb|AAH41495|	 MGC52923 protein [Xenopus laevis]
gi|27371287|gb|AAH41496|	 TDG protein [Xenopus laevis]
gi|27371289|gb|AAH41503|	 Mylpf-prov protein [Xenopus laevis]
gi|27371291|gb|AAH41506|	 Sui1-rs1 protein [Xenopus laevis]
gi|27371293|gb|AAH41511|	 Ethe1-prov protein [Xenopus laevis]
gi|27371295|gb|AAH41276|	 Paics-prov protein [Xenopus laevis]
gi|27371297|gb|AAH41283|	 LOC398424 protein [Xenopus laevis]
gi|27371299|gb|AAH41303|	 Slc25a1-prov protein [Xenopus laevis]
gi|27371301|gb|AAH41305|	 Purb-A protein [Xenopus laevis]
gi|27371303|gb|AAH41518|	 Psma3-prov protein [Xenopus laevis]
gi|27371312|gb|AAH40973|	 MGC52856 protein [Xenopus laevis]
gi|2738111|gb|AAB94379|	 potassium channel xKv4.3 [Xenopus laevis]
gi|2738490|gb|AAC60376|	 homeobox protein [Xenopus laevis]
gi|2738742|gb|AAB94539|	 hyaluronan synthase 3 [Xenopus laevis]
gi|2738744|gb|AAB94540|	 hyaluronan synthase 2 [Xenopus laevis]
gi|2738748|gb|AAC60343|	 hyaluronan synthase related sequence protein [Xenopus laevis]
gi|2739062|gb|AAB94603|	 EphB2-tyrosine kinase receptor [Xenopus laevis]
gi|2739206|gb|AAB94626|	 ferrochelatase [Xenopus laevis]
gi|27413425|gb|AAO11649|	 muscle regulatory factor 4b [Xenopus laevis]
gi|27435792|gb|AAO13223|	 Myc-associated zinc finger protein [Xenopus laevis]
gi|27447665|gb|AAO13693|	 p120 isoform 2 [Xenopus laevis]
gi|27447667|gb|AAO13694|	 p120 isoform 1 [Xenopus laevis]
gi|27447669|gb|AAO13695|	 p120 [Xenopus laevis]
gi|27448107|gb|AAO13788|	 SNAP25a [Xenopus laevis]
gi|27448109|gb|AAO13789|	 SNAP25b [Xenopus laevis]
gi|27450739|gb|AAO14672|	 TCRzeta subunit [Xenopus laevis]
gi|27450741|gb|AAO14673|	 FcRgamma subunit [Xenopus laevis]
gi|2746077|gb|AAC41235|	 melanopsin [Xenopus laevis]
gi|27462802|gb|AAO15593|	 fibroblast growth factor-8b [Xenopus laevis]
gi|27463038|gb|AAO15686|	 Riddle 1 [Xenopus laevis]
gi|27463040|gb|AAO15687|	 Riddle 2 [Xenopus laevis]
gi|27463042|gb|AAO15688|	 Riddle 3 [Xenopus laevis]
gi|27463044|gb|AAO15689|	 Riddle 4 [Xenopus laevis]
gi|27463046|gb|AAO15690|	 hatching gland-like XheI protein [Xenopus laevis]
gi|27469623|gb|AAH41716|	 MYH4 protein [Xenopus laevis]
gi|27469625|gb|AAH41717|	 MGC52635 protein [Xenopus laevis]
gi|27469628|gb|AAH41721|	 Camk1-prov protein [Xenopus laevis]
gi|27469630|gb|AAH41723|	 Kiaa0010-prov protein [Xenopus laevis]
gi|27469632|gb|AAH41725|	 Rfwd1-prov protein [Xenopus laevis]
gi|27469634|gb|AAH41732|	 Atp6v0a1 protein [Xenopus laevis]
gi|27469636|gb|AAH41735|	 MGC52777 protein [Xenopus laevis]
gi|27469638|gb|AAH41741|	 Cdc42bpb protein [Xenopus laevis]
gi|27469640|gb|AAH41743|	 Osbpl2-prov protein [Xenopus laevis]
gi|27469642|gb|AAH41748|	 FKBP1B protein [Xenopus laevis]
gi|27469644|gb|AAH41749|	 MGC53587 protein [Xenopus laevis]
gi|27469646|gb|AAH41756|	 LOC398484 protein [Xenopus laevis]
gi|27469648|gb|AAH41758|	 H1fx-prov protein [Xenopus laevis]
gi|27469661|gb|AAH41733|	 Sh2d3c-prov protein [Xenopus laevis]
gi|27469683|gb|AAH41720|	 MGC52647 protein [Xenopus laevis]
gi|27469685|gb|AAH41724|	 Snrp116-pending-prov protein [Xenopus laevis]
gi|27469687|gb|AAH41728|	 Ube2k protein [Xenopus laevis]
gi|27469689|gb|AAH41729|	 Bzw1-prov protein [Xenopus laevis]
gi|27469691|gb|AAH41757|	 MGC53635 protein [Xenopus laevis]
gi|27469846|gb|AAH41712|	 MGC52531 protein [Xenopus laevis]
gi|27469849|gb|AAH41713|	 Jaz protein [Xenopus laevis]
gi|27469852|gb|AAH41714|	 Cebpa-prov protein [Xenopus laevis]
gi|27469855|gb|AAH41715|	 Cdc37-prov protein [Xenopus laevis]
gi|27469858|gb|AAH41719|	 MGC52646 protein [Xenopus laevis]
gi|27469861|gb|AAH41726|	 MGC52683 protein [Xenopus laevis]
gi|27469864|gb|AAH41727|	 Pmp22-prov protein [Xenopus laevis]
gi|27469867|gb|AAH41731|	 Hoxa3a-prov protein [Xenopus laevis]
gi|27469870|gb|AAH41737|	 Eif5-prov protein [Xenopus laevis]
gi|27469873|gb|AAH41740|	 KIAA1411 protein [Xenopus laevis]
gi|27469880|gb|AAH41746|	 LOC398483 protein [Xenopus laevis]
gi|27469883|gb|AAH41759|	 RAB35 protein [Xenopus laevis]
